candidate_rank	word	combined_equal_corpus_ppm	hkcancor_count	cantomap_count	attested_both_spoken_corpora	cross_corpus_balance	hkcancor_top_pos	hkcancor_pos_counts	hkcancor_proper_like_share	hkcancor_jyutping_counts	cantomap_top_pos	cantomap_pos_counts	cantomap_jyutping_counts	cifu_top2000	cifu_rank	known_invalid_atomic	rime_present	rime_readings_compact	rime_source_files	review_flags	expert_status	expert_note
218	搵靚機場	593.726122	0	115	false	0.000000			0.000000		n	n:106|v:8|ns:1	wan2leng3gei1coeng4:115	false		false	false			single_corpus_signal|rime_absent	unreviewed	
221	日	579.440617	140	2	true	0.018143	q	q:131|t:6|Nsg:2|n:1	0.000000	jat6:140	q	q:2	jat6:2	true	235	false	true	jat6|mik6	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
222	勁盛泳池	573.074779	0	111	false	0.000000			0.000000		n	n:70|v:12|nz:8|x:7|a:4|ns:2|Nsg:2|jnt:1	ging6sing6wing6ci4:111	false		false	false			single_corpus_signal|rime_absent	unreviewed	
223	步薯樂園	573.074779	0	111	false	0.000000			0.000000		n	n:77|v:15|Ng:10|q:2|Nsg:2|i:1|Vg:1|x:1	bou6syu4lok6jyun4:111	false		false	false			single_corpus_signal|rime_absent	unreviewed	
225	共閒馬戲團	567.911943	0	110	false	0.000000			0.000000		n	n:42|v:39|Ng:10|x:10|q:3|ns:2|vn:1|a:1	gung6haan4maa5hei3tyun4:110	false		false	false			single_corpus_signal|rime_absent	unreviewed	
227	愁皮池	562.749107	0	109	false	0.000000			0.000000		n	n:63|v:25|Ng:6|a:4|x:3|p:2|d:2|ns:2	sau4pei4ci4:109	false		false	false			single_corpus_signal|rime_absent	unreviewed	
228	起點	557.586271	0	108	false	0.000000			0.000000		v	v:46|n:30|t:25|r:3|x:2|Vg:1|Ng:1	hei2dim2:108	true	299	false	true	hei2dim2	jyut6ping3.words.dict.yaml	single_corpus_signal	unreviewed	
229	領幼湖	557.586271	0	108	false	0.000000			0.000000		n	n:71|v:15|Ng:5|x:3|a:3|Nsg:3|ns:3|e:1	ling5jau3wu4:108	false		false	false			single_corpus_signal|rime_absent	unreviewed	
230	出來	556.919625	137	0	false	0.000000	v	v:135|p:2	0.000000	ceot1lai4:137				true	404	true	true	ceot1loi4	jyut6ping3.words.dict.yaml	known_invalid_atomic|single_corpus_signal|directional_chain	unreviewed	
232	玩	555.375786	129	6	true	0.059071	v	v:129	0.000000	waan2:129	v	v:6	wun6:6	true	267	false	true	waan2|waan4|wun6	jyut6ping3.chars.dict.yaml	domain_concentration_signal	unreviewed	
233	下方	552.423435	0	107	false	0.000000			0.000000		n	n:94|x:6|a:5|q:1|ns:1	haa6fong1:107	true	869	false	false			single_corpus_signal|rime_absent	unreviewed	
